net,length_um
_0581_,2.98
_0759_,2.98
_0764_,2.98
_0950_,2.98
_0111_,2.96
_0206_,2.96
_0430_,2.96
_0491_,2.96
_0934_,2.96
_0681_,2.86
_0006_,2.84
_0015_,2.84
_0044_,2.84
_0049_,2.84
_0052_,2.84
_0053_,2.84
_0055_,2.84
_0063_,2.84
_0064_,2.84
_0094_,2.84
_0123_,2.84
_0215_,2.84
_0821_,2.84
net58,2.84
_0133_,2.765
_0642_,2.76
_0723_,2.76
net65,2.76
net72,2.76
net148,2.76
_0147_,2.74
_0155_,2.74
_0163_,2.74
_0169_,2.74
_0175_,2.74
_0187_,2.74
_0192_,2.74
_0200_,2.74
_0247_,2.74
_0248_,2.74
_0067_,2.69
_0074_,2.69
_0076_,2.69
_0079_,2.69
_0120_,2.69
_0125_,2.69
_0191_,2.64
_0241_,2.64
_0668_,2.64
net75,2.64
_0197_,2.62
_0235_,2.62
_0240_,2.62
_0268_,2.62
_0511_,2.62
_0901_,2.62
net133,2.62
_0020_,2.55
_0776_,2.52
_0942_,2.52
_0011_,2.5
_0029_,2.5
_0093_,2.5
_0128_,2.5
_0569_,2.5
_0637_,2.5
_0726_,2.5
_0737_,2.5
_0771_,2.5
_0772_,2.5
_0900_,2.5
_0450_,2.4
_0703_,2.4
_0795_,2.4
net128,2.4
_0007_,2.38
_0016_,2.38
_0023_,2.38
_0030_,2.38
_0031_,2.38
_0032_,2.38
_0054_,2.38
_0057_,2.38
_0086_,2.38
_0090_,2.38
_0102_,2.38
_0107_,2.38
_0108_,2.38
_0113_,2.38
_0127_,2.38
_0217_,2.38
_0260_,2.305
_0806_,2.3
_0846_,2.3
net64,2.3
net76,2.3
net79,2.3
net82,2.3
net98,2.3
net107,2.3
net109,2.3
net110,2.3
net111,2.3
net114,2.3
net124,2.3
_0132_,2.28
_0142_,2.28
_0154_,2.28
_0166_,2.28
_0204_,2.28
_0210_,2.28
_0233_,2.28
_0257_,2.28
_0325_,2.28
_0823_,2.28
_0000_,2.23
_0002_,2.23
_0010_,2.23
_0012_,2.23
_0022_,2.23
_0024_,2.23
_0034_,2.23
_0051_,2.23
_0066_,2.23
_0069_,2.23
_0071_,2.23
_0073_,2.23
_0077_,2.23
_0078_,2.23
_0083_,2.23
_0101_,2.23
_0105_,2.23
_0118_,2.23
_0835_,2.225
_0080_,2.21
_0138_,2.18
_0146_,2.18
_0179_,2.18
_0214_,2.18
_0594_,2.18
